producto_id,nombre_producto,descripcion,categoria_id,marca_id,precio,costo,stock_actual,fecha_lanzamiento,url_imagen
19,Paraguas_Hermes_19,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",7,4,82267,36518,84,2022-09-19,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
20,Botas_Old Navy_20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",3,56,387979,277357,56,2022-04-18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
21,Botas_Dolce & Gabbana_21,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",3,38,276159,211690,26,2022-04-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
22,Polainas_Tissot_22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",11,74,316078,54399,89,2022-05-22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
23,Gorra_Patek Philippe_23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",4,20,250130,173135,28,2022-05-31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
24,Guantes_Chow Tai Fook_24,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",5,22,459252,111626,3,2022-09-08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
25,Gorra_Banana Republic_25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",4,96,383860,194294,38,2022-07-14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
26,Bolsa_Fossil_26,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",13,87,282670,37083,71,2022-05-21,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
27,Bolsa_Breguet_27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",13,93,371708,175430,42,2022-06-23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
28,Paraguas_H&M_28,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",7,12,99745,70658,60,2022-07-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
29,Polainas_Dolce & Gabbana_29,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",11,38,357303,197501,85,2022-07-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
30,Botas_Jaeger-Le Coultre_30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",3,86,313232,85390,21,2022-08-29,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
31,Guantes_Rolex_31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",5,11,331356,82174,61,2022-02-27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
32,Calcetines_Skechers_32,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",6,32,271246,56776,43,2022-10-25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
33,Bolsa_American Eagle Outfitters_33,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",13,49,339243,318075,99,2022-03-13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
34,Polainas_Levi's_34,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",11,27,447789,244625,53,2022-02-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
35,Calcetines_Aldo_35,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",6,80,337289,268247,32,2022-01-06,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
36,Paraguas_Gucci_36,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",7,5,355755,90396,51,2022-02-27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
37,Chubasquero_Tom Ford_37,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",9,25,223563,169171,57,2022-05-21,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
38,Bolsa_Primark_38,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vitae sem ut dolor congue fringilla at vitae elit. In tempus mollis dui, sit amet malesuada augue ultrices nec. Sed augue justo, dapibus laoreet dui non, tincidunt lobortis tellus. Integer molestie gravida nibh vitae ultricies. Curabitur eleifend nulla neque, sit amet molestie diam blandit sit amet. Vestibulum bibendum erat vitae lacinia commodo. Maecenas augue ex, ornare vitae libero feugiat, vehicula tempus erat. Ut congue consequat orci, ut vestibulum arcu maximus quis.",13,58,355857,237595,29,2022-07-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam rutrum mauris a ipsum posuere condimentum. Duis at lobortis leo. Ut et"
